Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Cross Train CPS,0.785988767366,NA,0.109325477942,0.649040519444,-0.00357167582597,0.113360157853,,-0.0311849191643,-0.263589120279,-0.000299999957962
Cross Train CPS,0.791013892994,NA,0.132738610294,0.612830387869,-0.0106021937208,0.0846961481179,0.132207015136,,-0.297381399243,0.00622399164641
Cross Train CPS,0.79190067987,NA,0.134031549396,0.608879570452,0.00991806130703,0.067189834316,0.158306146252,-0.192052830785,,-0.1118961954
Cross Train CPS,0.788057936743,NA,0.132423608614,0.604306573711,-0.00325420891379,0.0822887448368,0.151250327167,-0.0835940593428,-0.249390572553,
Cross Train CPS,0.645285249778,NA,0.330012767681,,,,,,,
Cross Train CPS,0.805202483003,NA,,0.740250692062,,,,,,
Cross Train CPS,0.582323381614,NA,,,0.0503196790623,,,,,
Cross Train CPS,0.582323381614,NA,,,,0.139181777289,,,,
Cross Train CPS,0.582323381614,NA,,,,,0.281873975193,,,
Cross Train CPS,0.582323381614,NA,,,,,,-0.267078314976,,
Cross Train CPS,0.582323381614,NA,,,,,,,-0.342301531257,
Cross Train CPS,0.582323381614,NA,,,,,,,,-0.252646755732
Cross Train Hos,0.818028643639,NA,0.175166615067,0.544050137397,0.0522930017133,0.0368839888214,0.320255276016,0.0991669639267,-0.220987219145,0.0195689466404
Cross Train Hos,0.812693063746,NA,,0.586416283742,0.0438810685856,0.0375191082736,0.315032695732,0.06965427181,-0.218296897249,0.0105240247058
Cross Train Hos,0.737714125246,NA,0.371148257312,,0.0517988297629,0.00120923158314,0.485398788521,0.0896893428127,-0.326042101227,0.0379672171136
Cross Train Hos,0.817467003651,NA,0.1696282935,0.545086641644,,0.0445910707625,0.321398120105,0.102048807348,-0.216747827354,0.016202058196
Cross Train Hos,0.816343723673,NA,0.175377772088,0.537612946481,0.0595090443962,,0.324512322245,0.101012433561,-0.223621562534,0.0205274658057
Cross Train Hos,0.821960123561,NA,0.153985773134,0.681266070506,0.0599400041595,0.0596316694627,,0.13998973109,-0.21785174331,0.0506513626784
Cross Train Hos,0.819713563606,NA,0.153023997997,0.544498447667,0.0551866857247,0.0390982117746,0.330067438355,,-0.179488885063,0.0192022705838
Cross Train Hos,0.81550126369,NA,0.17500395533,0.573341971054,0.0434129788184,0.0426055205859,0.319795973989,0.020072093546,,-0.0844518462997
Cross Train Hos,0.816624543668,NA,0.173551412078,0.544379839604,0.0514761874458,0.0371287546862,0.321929661002,0.0990446013435,-0.208416795461,
Cross Train Hos,0.678461106431,NA,0.418519930175,,,,,,,
Cross Train Hos,0.820556023589,NA,,0.738861035795,,,,,,
Cross Train Hos,0.598146588037,NA,,,0.0125875150621,,,,,
Cross Train Hos,0.598146588037,NA,,,,0.0149786065219,,,,
Cross Train Hos,0.686324066274,NA,,,,,0.47847938295,,,
Cross Train Hos,0.598146588037,NA,,,,,,-0.074668855615,,
Cross Train Hos,0.635776467284,NA,,,,,,,-0.266047194871,
Cross Train Hos,0.598146588037,NA,,,,,,,,-0.102616381029
Cross Train Loan,0.802253187074,NA,-0.0504489678513,1.10415424772,-0.0114432987388,0.0191676071827,0.240084481714,-0.135254053782,-0.366857405069,0.107029842321
Cross Train Loan,0.805217906908,NA,,1.08646956557,-0.0106136135809,0.016423470861,0.241765746525,-0.127377739748,-0.365651289325,0.103702691192
Cross Train Loan,0.723095167507,NA,0.348163932076,,0.00361250532221,0.0889986606826,0.683835462546,-0.103459482971,-0.423218554378,0.0481923082806
Cross Train Loan,0.802549659057,NA,-0.0502372112765,1.10430547405,,0.0163128045149,0.24044048298,-0.136272170738,-0.368416654422,0.107130983442
